"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","861",".select() - select an option in a <select> element","Actions","2026-03-18","passed","2026-03-18","","","",""
"","483","cy.request() - make an XHR request","Network Requests","2026-03-18","passed","2026-03-18","","","",""
"","22","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-03-18","passed","2026-03-18","","","",""
"","189","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-03-18","passed","2026-03-18","","","",""
"","88",".filter() - get DOM elements that match the selector","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","173","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-03-18","passed","2026-03-18","","","",""
"","100","Get and set configuration options","Cypress APIs","2026-03-18","passed","2026-03-18","","Cypress.config()","",""
"","2070",".click() - click on a DOM element","Actions","2026-03-18","passed","2026-03-18","","","",""
"","93","Get current spec information","Cypress APIs","2026-03-18","passed","2026-03-18","","Cypress.spec","",""
"","234",".children() - get child DOM elements","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","88","invokes a callback function with the current subject","Connectors","2026-03-18","passed","2026-03-18","",".then()","",""
"","362","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-03-18","passed","2026-03-18","","","",""
"","95","cy.fixture() or require - load a fixture","Files","2026-03-18","passed","2026-03-18","","","",""
"","94",".parents() - get parent DOM elements from DOM elements","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","20","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-03-18","passed","2026-03-18","","","",""
"","582",".as() - alias a route for later use","Aliasing","2026-03-18","passed","2026-03-18","","","",""
"","181","can check off an item as completed","example to-do app","2026-03-18","passed","2026-03-18","","","",""
"","82","Get current version of Cypress being run","Cypress APIs","2026-03-18","passed","2026-03-18","","Cypress.version","",""
"","102",".its() - get properties on the current subject","Connectors","2026-03-18","passed","2026-03-18","","","",""
"","220","cy.window() - get the global window object","Window","2026-03-18","passed","2026-03-18","","","",""
"","487",".as() - alias a DOM element for later use","Aliasing","2026-03-18","passed","2026-03-18","","","",""
"","77","Control what is printed to the Command Log","Cypress APIs","2026-03-18","passed","2026-03-18","","Cypress.log","",""
"","91","cy.document() - get the document object","Window","2026-03-18","passed","2026-03-18","","","",""
"","538","cy.intercept() - route responses to matching requests","Network Requests","2026-03-18","passed","2026-03-18","","","",""
"","98","cy.location() - get window.location","Location","2026-03-18","passed","2026-03-18","","","",""
"","94",".siblings() - get all sibling DOM elements","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","91",".last() - get last DOM element","Traversal","2026-03-18","passed","2026-03-18","","","",""
"","87","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-03-18","passed","2026-03-18","","Cypress.Screenshot","",""
"","356","cy.visit() - visit a remote url","Navigation","2026-03-18","passed","2026-03-18","","","",""
"","81","cy.title() - get the title","Window","2026-03-18","passed","2026-03-18","","","",""
